id,url,headline,author,date
0, https://www.theverge.com/23670169/logout-button-ui-websites-design-ui-interface, The impossibility of logging off, Terry Nguyen, 2023/04/06
1, https://www.theverge.com/2023/4/6/23672760/tesla-employees-share-vehicle-recordings-privacy, Tesla employees reportedly passed around personal videos from owners’ cars, Emma Roth, 2023/04/07
2, https://www.theverge.com/2023/4/6/23672991/defi-treasury-report-money-laundering, Is it just me or is the Treasury Department firing warning shots at DeFi?, Elizabeth Lopatto, 2023/04/07
3, https://www.theverge.com/23669728/apple-lisa-macintosh-ui-design-history, The Apple Lisa was a design revolution — and it still feels like one today, Adi Robertson, 2023/04/06
4, https://www.theverge.com/23671137/best-laptop-microphone-test-vergecast, Your laptop’s microphone might sound better than you think, Andrew Marino, 2023/04/06
5, https://www.theverge.com/2023/4/6/23673043/twitter-substack-embeds-bots-tools-api, Twitter cuts off Substack embeds and starts suspending bots, Mitchell Clark, 2023/04/07
6, https://www.theverge.com/23672874/star-wars-celebration-2023-trailers-news, Star Wars Celebration 2023: all the trailers and news, Andrew Webster, 2023/04/07
7, https://www.theverge.com/2023/4/7/23673907/star-wars-ahsoka-disney-plus-trailer-streaming-date-august-2023, Star Wars: Ahsoka starts streaming in August 2023, Andrew Webster, 2023/04/07
8, https://www.theverge.com/2023/4/7/23673893/star-wars-the-acolyte-disney-plus-2024, Star Wars spinoff The Acolyte hits Disney Plus in 2024, Andrew Webster, 2023/04/07
9, https://www.theverge.com/2023/4/7/23673851/samsung, Samsung’s having a terrible financial year, Thomas Ricker, 2023/04/07
10, https://www.theverge.com/2023/4/6/23673462/google-webgpu-chrome-113-api-machine-learning, Google is rolling out WebGPU tech for next-gen gaming in your browser, Mitchell Clark, 2023/04/07
11, https://www.theverge.com/2023/4/6/23673372/apple-india-retail-store-mumbai-bkc, Apple’s first retail store in India is opening soon, Jay Peters, 2023/04/07
12, https://www.theverge.com/23650699/poop-emoji-law-judges-unicode, The poop emoji: a legal history, Sarah Jeong, 2023/04/06
13, https://www.theverge.com/2023/4/6/23671956/amazon-kindle-paperwhite-fire-tv-stick-4k-max-echo-dot-fifth-gen-spring-sale-deal, Amazon is discounting Kindles, speakers, and more during its spring sales event, Sheena Vasani, 2023/04/07
14, https://www.theverge.com/2023/4/6/23672763/walmart-electric-vehicle-stations-nationwide-ev-charging-network, Walmart’s preparing to build its own coast-to-coast EV charging network, Umar Shakir, 2023/04/07
15, https://www.theverge.com/2023/4/6/23669582/american-climate-tech-company-colorado-global-thermostat-direct-air-capture, Why this new plant is capturing carbon dioxide just to let it back out again, Justine Calma, 2023/04/07
16, https://www.theverge.com/21289209/best-apple-watch-deals, Here are the best Apple Watch deals right now, Brandon Widder, 2023/04/07
17, https://www.theverge.com/2023/4/6/23673067/twitter-api-shutdown-bots-botpocalypse-begins, Twitter’s API shutdown and botpocalypse begins, Jay Peters, 2023/04/07
18, https://www.theverge.com/2023/4/6/23672862/microsoft-image-creator-edge-sidebar-dall-e-ai-generator, Microsoft’s rolling out Edge’s AI image generator to everyone, Mitchell Clark, 2023/04/07
19, https://www.theverge.com/2023/4/6/23672848/disney-chief-brand-officer-asad-ayaz, Disney creates new executive role to oversee everything about its brand, Jay Peters, 2023/04/06
20, https://www.theverge.com/2023/4/6/23672782/overwatch-2-season-four-trailer-liveweaver-pride-event, Overwatch 2 season 4 trailer got me right in the feels, Ash Parrish, 2023/04/06
21, https://www.theverge.com/2023/4/6/23672354/whitefox-eclipse-wireless-mechanical-keyboard-kickstarter, A classic keyboard returns as the hot-swappable, wireless WhiteFox Eclipse, Jon Porter, 2023/04/06
22, https://www.theverge.com/22912942/best-nintendo-switch-controllers-cases-chargers-headsets-accessories, Here are some must-have accessories for your Nintendo Switch, Alice Newcome-Beill, 2023/04/06
23, https://www.theverge.com/2023/4/6/23672441/meta-facebook-games-messenger-video-calls, Meta adds 14 free games you can play over video calls inside Messenger, Umar Shakir, 2023/04/06
24, https://www.theverge.com/2023/4/6/23672572/t-mobile-mlb-tv-free-2028, T-Mobile will provide free MLB.TV to customers through 2028, Emma Roth, 2023/04/06
